id,current_age,retirement_age,birth_year,birth_month,gender,address,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
825,53,66,1966,11,Female,462 Rose Lane,"$29,278 ","$59,696 ","$127,613 ",787,5
1746,53,68,1966,12,Female,3606 Federal Boulevard,"$37,891 ","$77,254 ","$191,349 ",701,5
1718,81,67,1938,11,Female,766 Third Drive,"$22,681 ","$33,483 ",$196 ,698,5
708,63,63,1957,1,Female,3 Madison Street,"$163,145 ","$249,925 ","$202,328 ",722,4
1164,43,70,1976,9,Male,9620 Valley Stream Drive,"$53,797 ","$109,687 ","$183,855 ",675,1
68,42,70,1977,10,Male,58 Birch Lane,"$20,599 ","$41,997 ",$0 ,704,3
1075,36,67,1983,12,Female,5695 Fifth Street,"$25,258 ","$51,500 ","$102,286 ",672,3
1711,26,67,1993,12,Male,1941 Ninth Street,"$26,790 ","$54,623 ","$114,711 ",728,1
1116,81,66,1938,7,Female,11 Spruce Avenue,"$26,273 ","$42,509 ","$2,895 ",755,5
1752,34,60,1986,1,Female,887 Grant Street,"$18,730 ","$38,190 ","$81,262 ",810,1
192,27,66,1992,6,Male,888 Fifth Lane,"$27,548 ","$56,164 ","$15,224 ",761,2
640,29,63,1990,9,Female,8677 Littlewood Lane,"$22,427 ","$45,727 ","$94,016 ",629,1
1679,18,67,2002,1,Female,829 Fourth Boulevard,"$33,914 ","$69,149 ","$89,214 ",776,1
1094,34,62,1985,10,Male,74786 Jefferson Drive,"$20,325 ","$41,442 ","$78,833 ",712,3
1590,48,62,1971,5,Female,781 East Street,"$10,059 ","$20,513 ","$32,509 ",599,1
1660,41,68,1978,4,Female,40 Washington Drive,"$11,342 ","$23,123 ","$5,079 ",723,6
1747,54,71,1966,1,Male,3994 Hillside Drive,"$17,898 ","$36,497 ","$38,333 ",719,6
153,76,71,1943,8,Female,172 Birch Street,"$21,950 ","$27,484 ","$16,803 ",660,4
429,22,68,1997,11,Male,8145 Spruce Boulevard,"$26,481 ","$53,995 ","$89,056 ",683,3
511,66,68,1953,10,Male,153 Tenth Lane,"$17,460 ","$35,602 ","$55,369 ",661,5
309,28,57,1991,8,Male,2473 Lake Avenue,"$12,321 ","$25,122 ","$43,205 ",819,3
777,18,65,2002,1,Male,970 Essex Drive,"$106,305 ","$216,740 ",$0 ,700,2
1946,76,66,1943,6,Male,9186 Washington Avenue,"$19,524 ","$41,109 ","$21,486 ",698,2
1674,70,64,1949,4,Male,5073 Wessex Avenue,"$14,172 ","$26,858 ","$11,245 ",712,2
482,45,65,1975,1,Male,195 Eighth Boulevard,"$17,131 ","$34,929 ","$63,849 ",714,1
877,36,63,1983,8,Female,801 Mill Boulevard,"$16,829 ","$34,317 ","$61,826 ",610,3
